pp_id,age,gender,L1,handedness,musical_experience,stim_id,sequence_id,length,n_resp,stim_tempo_intended,stim_tempo,stim_sd,interval_i,stim_ioi,resp_iti,ioi_iti_diff
11,21,M,danish,right,0.0,46,11_46,5,5,600,522.774869109948,119.428356795292,4,520.157068062827,407.045454545455,113.111613517372
11,21,M,danish,right,0.0,47,11_47,5,5,400,466.753926701571,226.092754276157,1,409.162303664921,484.772727272727,75.6104236078058
11,21,M,danish,right,0.0,47,11_47,5,5,400,466.753926701571,226.092754276157,2,636.910994764398,760.909090909091,123.998096144693
11,21,M,danish,right,0.0,47,11_47,5,5,400,466.753926701571,226.092754276157,3,650.0,180.0,470.0
11,21,M,danish,right,0.0,47,11_47,5,5,400,466.753926701571,226.092754276157,4,170.942408376963,431.590909090909,260.648500713946
11,21,M,danish,right,0.0,47,11_47,5,5,400,466.753926701571,226.092754276157,1,409.162303664921,484.772727272727,75.6104236078058
11,21,M,danish,right,0.0,47,11_47,5,5,400,466.753926701571,226.092754276157,2,636.910994764398,760.909090909091,123.998096144693
11,21,M,danish,right,0.0,47,11_47,5,5,400,466.753926701571,226.092754276157,3,650.0,180.0,470.0
11,21,M,danish,right,0.0,47,11_47,5,5,400,466.753926701571,226.092754276157,4,170.942408376963,431.590909090909,260.648500713946
11,21,M,danish,right,0.0,49,11_49,4,4,600,528.321678321678,211.560132970711,1,374.475524475524,376.363636363636,1.88811188811184
11,21,M,danish,right,0.0,49,11_49,4,4,600,528.321678321678,211.560132970711,2,769.58041958042,793.636363636364,24.055944055944
11,21,M,danish,right,0.0,49,11_49,4,4,600,528.321678321678,211.560132970711,3,440.909090909091,454.090909090909,13.181818181818
11,21,M,danish,right,0.0,49,11_49,4,4,600,528.321678321678,211.560132970711,1,374.475524475524,376.363636363636,1.88811188811184
11,21,M,danish,right,0.0,49,11_49,4,4,600,528.321678321678,211.560132970711,2,769.58041958042,793.636363636364,24.055944055944
11,21,M,danish,right,0.0,49,11_49,4,4,600,528.321678321678,211.560132970711,3,440.909090909091,454.090909090909,13.181818181818
11,21,M,danish,right,0.0,50,11_50,4,4,400,273.543123543124,87.4358943287229,1,212.937062937063,239.318181818182,26.3811188811189
11,21,M,danish,right,0.0,50,11_50,4,4,400,273.543123543124,87.4358943287229,2,373.776223776224,427.5,53.7237762237761
11,21,M,danish,right,0.0,50,11_50,4,4,400,273.543123543124,87.4358943287229,3,233.916083916084,241.363636363636,7.44755244755254
11,21,M,danish,right,0.0,50,11_50,4,4,400,273.543123543124,87.4358943287229,1,212.937062937063,239.318181818182,26.3811188811189
11,21,M,danish,right,0.0,50,11_50,4,4,400,273.543123543124,87.4358943287229,2,373.776223776224,427.5,53.7237762237761
11,21,M,danish,right,0.0,50,11_50,4,4,400,273.543123543124,87.4358943287229,3,233.916083916084,241.363636363636,7.44755244755254
11,21,M,danish,right,0.0,52,11_52,5,5,400,354.842931937173,113.472440751417,1,474.607329842932,535.909090909091,61.3017610661591
11,21,M,danish,right,0.0,52,11_52,5,5,400,354.842931937173,113.472440751417,2,204.973821989529,200.454545454545,4.51927653498331
11,21,M,danish,right,0.0,52,11_52,5,5,400,354.842931937173,113.472440751417,3,343.717277486911,388.636363636364,44.9190861494525
11,21,M,danish,right,0.0,52,11_52,5,5,400,354.842931937173,113.472440751417,4,396.073298429319,466.363636363636,70.290337934317
11,21,M,danish,right,0.0,52,11_52,5,5,400,354.842931937173,113.472440751417,1,474.607329842932,535.909090909091,61.3017610661591
11,21,M,danish,right,0.0,52,11_52,5,5,400,354.842931937173,113.472440751417,2,204.973821989529,200.454545454545,4.51927653498331
11,21,M,danish,right,0.0,52,11_52,5,5,400,354.842931937173,113.472440751417,3,343.717277486911,388.636363636364,44.9190861494525
11,21,M,danish,right,0.0,52,11_52,5,5,400,354.842931937173,113.472440751417,4,396.073298429319,466.363636363636,70.290337934317
11,21,M,danish,right,0.0,54,11_54,5,5,400,405.890052356021,143.356977545793,1,207.591623036649,591.136363636364,383.544740599714
11,21,M,danish,right,0.0,54,11_54,5,5,400,405.890052356021,143.356977545793,2,547.905759162304,210.681818181818,337.223940980485
11,21,M,danish,right,0.0,54,11_54,5,5,400,405.890052356021,143.356977545793,3,451.047120418848,445.909090909091,5.13802950975742
